algorithm;field_size;file_name;number_of_fields;number_of_observations;number_of_observations_smote;tuple_size;number_of_folds;avg_accuracy;list_accuracies
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;2;10;0.8253526220614829;[0.8148282097649187, 0.8148282097649187, 0.8057866184448463, 0.8195298372513562, 0.7992766726943942, 0.8061482820976492, 0.8650994575045208, 0.8260397830018084, 0.8911392405063291, 0.8108499095840868];
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;3;10;0.8338517179023508;[0.8144665461121158, 0.8010849909584087, 0.803616636528029, 0.806871609403255, 0.793128390596745, 0.7826401446654612, 0.932007233273056, 0.9377938517179023, 0.8535262206148282, 0.813381555153707];
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;4;10;0.8490054249547919;[0.8050632911392405, 0.8198915009041592, 0.7934900542495479, 0.8050632911392405, 0.7895117540687161, 0.779385171790235, 0.935623869801085, 0.9088607594936708, 0.9309222423146474, 0.9222423146473779];
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;5;10;0.8689330922242314;[0.8245931283905967, 0.8079566003616636, 0.8032549728752261, 0.8191681735985533, 0.7945750452079566, 0.7952983725135624, 0.9497287522603979, 0.9804701627486437, 0.9508137432188065, 0.9634719710669077];
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;6;10;0.8722603978300182;[0.8227848101265823, 0.813381555153707, 0.8025316455696202, 0.8079566003616636, 0.7989150090415913, 0.7981916817359855, 0.9406871609403255, 0.9790235081374322, 0.9779385171790235, 0.9811934900542495];
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;7;10;0.8739240506329115;[0.8321880650994575, 0.8014466546112116, 0.7985533453887884, 0.8169981916817359, 0.8032549728752261, 0.7985533453887884, 0.9674502712477396, 0.9714285714285714, 0.976491862567812, 0.972875226039783];
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;8;10;0.8809403254972874;[0.8300180831826401, 0.8282097649186256, 0.8155515370705244, 0.8195298372513562, 0.8083182640144665, 0.8144665461121158, 0.9555153707052442, 0.98625678119349, 0.9725135623869801, 0.9790235081374322];
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;9;10;0.8840506329113923;[0.8318264014466547, 0.8083182640144665, 0.8151898734177215, 0.8209764918625678, 0.8227848101265823, 0.8079566003616636, 0.9746835443037974, 0.983001808318264, 0.9844484629294756, 0.9913200723327306];
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;10;10;0.890741410488246;[0.8520795660036167, 0.8329113924050633, 0.8224231464737793, 0.8267631103074141, 0.8202531645569621, 0.8285714285714286, 0.9699819168173599, 0.9804701627486437, 0.98625678119349, 0.9877034358047017];
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;11;10;0.894249547920434;[0.8350813743218807, 0.8329113924050633, 0.8332730560578662, 0.8282097649186256, 0.8311030741410488, 0.8296564195298373, 0.9826401446654611, 0.9902350813743219, 0.9909584086799277, 0.9884267631103074];
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;12;10;0.9032911392405062;[0.8553345388788427, 0.8575045207956601, 0.840867992766727, 0.8524412296564196, 0.8242314647377939, 0.8412296564195298, 0.9768535262206148, 0.9960216998191682, 0.9938517179023508, 0.9945750452079566];
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;13;10;0.9064737793851718;[0.8632911392405064, 0.8520795660036167, 0.8405063291139241, 0.8585895117540687, 0.8426763110307414, 0.8564195298372513, 0.9790235081374322, 0.9938517179023508, 0.9877034358047017, 0.9905967450271248];
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;14;10;0.9134538878842676;[0.8770343580470162, 0.8632911392405064, 0.8553345388788427, 0.8640144665461121, 0.857866184448463, 0.8499095840867993, 0.9880650994575045, 0.9942133815551537, 0.9952983725135623, 0.989511754068716];
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;15;10;0.9146473779385171;[0.8741410488245931, 0.8665461121157324, 0.8470162748643761, 0.8687160940325497, 0.8596745027124774, 0.8556962025316456, 0.9848101265822785, 0.993490054249548, 0.9981916817359855, 0.9981916817359855];
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;16;10;0.9211934900542497;[0.884629294755877, 0.8741410488245931, 0.8737793851717902, 0.8777576853526221, 0.8600361663652802, 0.8654611211573237, 0.9858951175406871, 0.9938517179023508, 0.9985533453887884, 0.9978300180831826];
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;17;10;0.9238698010849908;[0.8886075949367088, 0.8784810126582279, 0.874502712477396, 0.8777576853526221, 0.8759493670886076, 0.8669077757685353, 0.9869801084990958, 0.9981916817359855, 0.9945750452079566, 0.996745027124774];
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;18;10;0.9253887884267632;[0.8842676311030742, 0.8777576853526221, 0.8835443037974684, 0.8849909584086799, 0.8759493670886076, 0.87124773960217, 0.98625678119349, 0.996745027124774, 0.9963833634719711, 0.996745027124774];
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;19;10;0.9300180831826401;[0.8980108499095841, 0.8824593128390597, 0.8849909584086799, 0.8886075949367088, 0.8788426763110307, 0.8857142857142857, 0.9887884267631103, 0.9981916817359855, 0.9960216998191682, 0.9985533453887884];
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;20;10;0.9318625678119348;[0.895117540687161, 0.895117540687161, 0.8893309222423147, 0.8925858951175407, 0.8839059674502713, 0.8842676311030742, 0.9858951175406871, 0.9985533453887884, 0.9949367088607595, 0.9989150090415914];
wisard;50;compact_Health_Sports_50.pickle;1.14;21754;36884;2;10;0.7924620390455531;[0.8318872017353579, 0.84029284164859, 0.8229392624728851, 0.8283622559652929, 0.8142624728850325, 0.8270065075921909, 0.5897505422993492, 0.7947396963123644, 0.8394793926247288, 0.7359002169197397];
wisard;50;compact_Health_Sports_50.pickle;1.14;21754;36884;3;10;0.8628524945770065;[0.8348698481561823, 0.8253796095444685, 0.8237527114967462, 0.8240238611713666, 0.81941431670282, 0.829175704989154, 0.9311279826464208, 0.9240780911062907, 0.9116052060737527, 0.9050976138828634];
wisard;50;compact_Health_Sports_50.pickle;1.14;21754;36884;4;10;0.8771420824295012;[0.838937093275488, 0.834056399132321, 0.8177874186550976, 0.8251084598698482, 0.8213123644251626, 0.8364967462039046, 0.9655639913232104, 0.9544468546637744, 0.9436008676789588, 0.9341106290672451];
wisard;50;compact_Health_Sports_50.pickle;1.14;21754;36884;5;10;0.8721258134490238;[0.8335140997830802, 0.8223969631236443, 0.8101952277657267, 0.8335140997830802, 0.8082971800433839, 0.8378524945770065, 0.9129609544468547, 0.9476681127982647, 0.9685466377440347, 0.9463123644251626];
wisard;50;compact_Health_Sports_50.pickle;1.14;21754;36884;6;10;0.8828091106290671;[0.836767895878525, 0.838937093275488, 0.8251084598698482, 0.8302603036876356, 0.8210412147505423, 0.8392082429501084, 0.9633947939262473, 0.9598698481561823, 0.9628524945770065, 0.9506507592190889];
wisard;50;compact_Health_Sports_50.pickle;1.14;21754;36884;7;10;0.8880965292841647;[0.8299891540130152, 0.8256507592190889, 0.8248373101952278, 0.8267353579175705, 0.8289045553145337, 0.8449023861171366, 0.9772234273318872, 0.9674620390455532, 0.9750542299349241, 0.9802060737527115];
wisard;50;compact_Health_Sports_50.pickle;1.14;21754;36884;8;10;0.8927060737527116;[0.8495119305856833, 0.8419197396963124, 0.8256507592190889, 0.8362255965292842, 0.8259219088937093, 0.8508676789587852, 0.9745119305856833, 0.9709869848156182, 0.9753253796095445, 0.9761388286334056];
wisard;50;compact_Health_Sports_50.pickle;1.14;21754;36884;9;10;0.897180043383948;[0.8375813449023861, 0.8497830802603037, 0.8343275488069414, 0.8313449023861171, 0.8348698481561823, 0.851409978308026, 0.9821041214750542, 0.988882863340564, 0.982646420824295, 0.9788503253796096];
wisard;50;compact_Health_Sports_50.pickle;1.14;21754;36884;10;10;0.9013015184381779;[0.8535791757049892, 0.8438177874186551, 0.8468004338394793, 0.8381236442516269, 0.835412147505423, 0.8568329718004338, 0.9823752711496746, 0.9872559652928417, 0.9872559652928417, 0.9815618221258134];
wisard;50;compact_Health_Sports_50.pickle;1.14;21754;36884;11;10;0.9030911062906725;[0.8497830802603037, 0.8543926247288504, 0.8329718004338394, 0.8595444685466378, 0.8522234273318872, 0.8609002169197397, 0.9872559652928417, 0.9793926247288504, 0.9736984815618221, 0.9807483731019523];
wisard;50;compact_Health_Sports_50.pickle;1.14;21754;36884;12;10;0.9097342733188721;[0.8619848156182213, 0.8492407809110629, 0.8617136659436009, 0.8619848156182213, 0.8430043383947939, 0.8671366594360087, 0.9902386117136659, 0.9864425162689805, 0.9926789587852495, 0.9829175704989154];
wisard;50;compact_Health_Sports_50.pickle;1.14;21754;36884;13;10;0.9131236442516268;[0.8731019522776573, 0.8649674620390455, 0.8573752711496746, 0.8617136659436009, 0.8497830802603037, 0.8665943600867679, 0.9943058568329718, 0.987527114967462, 0.9902386117136659, 0.9856290672451193];
wisard;50;compact_Health_Sports_50.pickle;1.14;21754;36884;14;10;0.9174620390455532;[0.8752711496746204, 0.8736442516268981, 0.8703904555314533, 0.862527114967462, 0.8584598698481561, 0.8766268980477223, 0.9896963123644251, 0.9910520607375272, 0.9921366594360087, 0.9848156182212582];
wisard;50;compact_Health_Sports_50.pickle;1.14;21754;36884;15;10;0.9218546637744034;[0.8847613882863341, 0.8741865509761388, 0.8609002169197397, 0.8752711496746204, 0.8768980477223427, 0.8768980477223427, 0.9918655097613883, 0.9926789587852495, 0.9986442516268981, 0.9864425162689805];
wisard;50;compact_Health_Sports_50.pickle;1.14;21754;36884;16;10;0.9269251626898047;[0.8915401301518439, 0.8752711496746204, 0.8901843817787418, 0.875, 0.8725596529284165, 0.8858459869848156, 0.9929501084598699, 0.993763557483731, 0.9970173535791758, 0.995119305856833];
wisard;50;compact_Health_Sports_50.pickle;1.14;21754;36884;17;10;0.9308568329718001;[0.9010303687635575, 0.8956073752711496, 0.8815075921908894, 0.8869305856832972, 0.8728308026030369, 0.8869305856832972, 0.9970173535791758, 0.9975596529284165, 0.9972885032537961, 0.9918655097613883];
wisard;50;compact_Health_Sports_50.pickle;1.14;21754;36884;18;10;0.9343004338394791;[0.8996746203904555, 0.898590021691974, 0.889642082429501, 0.8918112798264642, 0.8890997830802603, 0.8890997830802603, 0.9981019522776573, 0.9940347071583514, 0.9967462039045553, 0.9962039045553145];
