algorithm;field_size;file_name;number_of_fields;number_of_observations;number_of_observations_smote;tuple_size;number_of_folds;avg_accuracy;list_accuracies
wisard;100;compact_Literacy_Language_100.pickle;1.07;75824;131404;2;10;0.845814307458143;[0.8599695585996956, 0.8633181126331811, 0.8557077625570776, 0.8568493150684932, 0.8601978691019787, 0.8516742770167428, 0.9179604261796043, 0.8492389649923896, 0.8223744292237443, 0.7208523592085236];
wisard;100;compact_Literacy_Language_100.pickle;1.07;75824;131404;3;10;0.887785388127854;[0.8525114155251141, 0.8574581430745815, 0.854261796042618, 0.854337899543379, 0.8566971080669711, 0.8817351598173516, 0.9194824961948249, 0.9365296803652968, 0.94558599695586, 0.9192541856925418];
wisard;100;compact_Literacy_Language_100.pickle;1.07;75824;131404;4;10;0.887283105022831;[0.8487823439878235, 0.8535768645357686, 0.8487062404870624, 0.8449771689497717, 0.8496955859969558, 0.8816590563165906, 0.9256468797564688, 0.9277016742770168, 0.9485540334855403, 0.9435312024353121];
wisard;100;compact_Literacy_Language_100.pickle;1.07;75824;131404;5;10;0.8973668188736683;[0.8458904109589042, 0.8474885844748858, 0.8420852359208524, 0.8460426179604261, 0.8510654490106545, 0.8726027397260274, 0.982572298325723, 0.9670471841704719, 0.967351598173516, 0.9515220700152207];
wisard;100;compact_Literacy_Language_100.pickle;1.07;75824;131404;6;10;0.9032800608828004;[0.8482496194824962, 0.8551750380517504, 0.8516742770167428, 0.8495433789954338, 0.845662100456621, 0.8816590563165906, 0.969482496194825, 0.9618721461187215, 0.9838660578386605, 0.9856164383561644];
wisard;100;compact_Literacy_Language_100.pickle;1.07;75824;131404;7;10;0.9019406392694066;[0.8466514459665144, 0.8480213089802131, 0.8489345509893456, 0.8462709284627092, 0.8507610350076104, 0.882496194824962, 0.9812024353120243, 0.9703957382039574, 0.969634703196347, 0.9750380517503805];
wisard;100;compact_Literacy_Language_100.pickle;1.07;75824;131404;8;10;0.9049162861491629;[0.8518264840182649, 0.8445966514459665, 0.8474124809741248, 0.8476407914764079, 0.8519025875190259, 0.8829528158295281, 0.9838660578386605, 0.9751902587519026, 0.9808219178082191, 0.9829528158295282];
wisard;100;compact_Literacy_Language_100.pickle;1.07;75824;131404;9;10;0.9098173515981735;[0.8511415525114155, 0.851978691019787, 0.8471841704718417, 0.8556316590563166, 0.854337899543379, 0.886910197869102, 0.9920091324200914, 0.9887366818873669, 0.980517503805175, 0.9897260273972602];
wisard;100;compact_Literacy_Language_100.pickle;1.07;75824;131404;10;10;0.9105555555555556;[0.8512937595129376, 0.8584474885844748, 0.85220700152207, 0.8546423135464232, 0.8563165905631659, 0.8853120243531203, 0.9901065449010654, 0.9818112633181126, 0.9939878234398782, 0.9814307458143074];
wisard;100;compact_Literacy_Language_100.pickle;1.07;75824;131404;11;10;0.912427701674277;[0.8596651445966514, 0.8557838660578386, 0.8570776255707763, 0.854185692541857, 0.8554033485540334, 0.8897260273972603, 0.9891933028919331, 0.9917047184170472, 0.9885844748858448, 0.9829528158295282];
wisard;100;compact_Literacy_Language_100.pickle;1.07;75824;131404;12;10;0.9135464231354641;[0.856468797564688, 0.8547184170471842, 0.860806697108067, 0.8561643835616438, 0.8570015220700152, 0.8898782343987823, 0.9878234398782344, 0.9899543378995433, 0.9899543378995433, 0.9926940639269406];
wisard;100;compact_Literacy_Language_100.pickle;1.07;75824;131404;13;10;0.9157458143074582;[0.8598173515981735, 0.8640791476407915, 0.8618721461187214, 0.8560882800608828, 0.8624048706240487, 0.8886605783866058, 0.9947488584474886, 0.9919330289193303, 0.9898782343987823, 0.9879756468797565];
wisard;100;compact_Literacy_Language_100.pickle;1.07;75824;131404;14;10;0.9190334855403348;[0.860806697108067, 0.8627092846270928, 0.8709284627092846, 0.867579908675799, 0.8641552511415526, 0.8958904109589041, 0.9909436834094368, 0.9879756468797565, 0.9952054794520548, 0.9941400304414003];
wisard;100;compact_Literacy_Language_100.pickle;1.07;75824;131404;15;10;0.9211339421613394;[0.869482496194825, 0.8712328767123287, 0.8691780821917808, 0.8644596651445966, 0.8683409436834094, 0.897716894977169, 0.9922374429223745, 0.9917047184170472, 0.9917047184170472, 0.9952815829528159];
