algorithm;field_size;file_name;number_of_fields;number_of_observations;number_of_observations_smote;tuple_size;number_of_folds;avg_accuracy;list_accuracies
wisard;100;compact_Math_Science_100.pickle;1.07;42043;69478;2;10;0.845242550741327;[0.8167554340002879, 0.823952785374982, 0.8184827983302145, 0.8158917518353246, 0.8199222686051533, 0.8253922556499208, 0.8818194904275227, 0.8626745357708363, 0.8792284439326328, 0.908305743486397];
wisard;100;compact_Math_Science_100.pickle;1.07;42043;69478;3;10;0.8680581545991075;[0.8189146394126962, 0.8184827983302145, 0.8127249172304591, 0.8125809702029653, 0.8173312221102634, 0.8186267453577084, 0.9605585144666763, 0.9036994386065927, 0.954800633366921, 0.9628616669065784];
wisard;100;compact_Math_Science_100.pickle;1.07;42043;69478;4;10;0.870591622283;[0.8115733410105082, 0.8144522815603857, 0.811717288038002, 0.8101338707355693, 0.8114293939830143, 0.8160356988628185, 0.9581114149992803, 0.9311933208579243, 0.9890600259104649, 0.952209586872031];
wisard;100;compact_Math_Science_100.pickle;1.07;42043;69478;5;10;0.8759464517057722;[0.8145962285878796, 0.8101338707355693, 0.8151720166978552, 0.8095580826255938, 0.8197783215776594, 0.8181949042752267, 0.9699150712537786, 0.9527853749820067, 0.9748092701885706, 0.9745213761335828];
wisard;100;compact_Math_Science_100.pickle;1.07;42043;69478;6;10;0.8789693392831437;[0.8176191161652512, 0.8196343745501655, 0.8157478048078307, 0.8131567583129409, 0.8194904275226716, 0.8194904275226716, 0.9648769252914927, 0.9691953361163091, 0.968187706923852, 0.9822945156182524];
wisard;100;compact_Math_Science_100.pickle;1.07;42043;69478;7;10;0.885691665467108;[0.8193464804951778, 0.8240967324024759, 0.8181949042752267, 0.8197783215776594, 0.8179070102202389, 0.823952785374982, 0.971930329638693, 0.9794155750683748, 0.9904994961854038, 0.9917950194328488];
wisard;100;compact_Math_Science_100.pickle;1.07;42043;69478;8;10;0.8880667914207571;[0.8223693680725493, 0.8261119907873903, 0.8192025334676839, 0.8222254210450555, 0.8213617388800921, 0.8279833021448108, 0.977976104793436, 0.9851734561681301, 0.9923708075428243, 0.9858931913055995];
wisard;100;compact_Math_Science_100.pickle;1.07;42043;69478;9;10;0.8898949186699296;[0.8271196199798474, 0.8334532891895783, 0.8266877788973658, 0.8222254210450555, 0.8258240967324024, 0.8320138189146394, 0.9739455880236073, 0.9871887145530445, 0.9844537210306608, 0.9860371383330935];
wisard;100;compact_Math_Science_100.pickle;1.07;42043;69478;10;10;0.8959982726356699;[0.8307182956671945, 0.8384914351518641, 0.8333093421620843, 0.8295667194472434, 0.8356124946019865, 0.836188282711962, 0.984021879948179, 0.9871887145530445, 0.9955376421476897, 0.9893479199654527];
wisard;100;compact_Math_Science_100.pickle;1.07;42043;69478;11;10;0.8991795019432848;[0.8402187994817907, 0.8428098459766806, 0.833741183244566, 0.8371959119044192, 0.8382035410968763, 0.8390672232618397, 0.9887721318554772, 0.9920829134878365, 0.9893479199654527, 0.9903555491579099];
