data_distribution;tuple_size;bleaching_active;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;
5/5;1;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;83750;0.4599879167353216;154341;67736;11715;0.4388723670314434;27729;16014;86605;0.5775181218219193;
5/5;1;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;108288;0.594760257043994;154341;98069;17510;0.6354047207158176;27729;10219;56272;0.36853114068303944;
5/5;2;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;98390;0.5403965507771736;154341;86153;15492;0.5581990527468398;27729;12237;68188;0.44130693497782103;
5/5;2;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;114055;0.6264348876805624;154341;105528;19202;0.6837327735339281;27729;8527;48813;0.30751199105629484;
5/5;4;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;98700;0.5420991926182238;154341;86263;15292;0.5589117603229213;27729;12437;68078;0.4485196004183346;
5/5;4;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;112032;0.6153237765694514;154341;102809;18506;0.6661159380851491;27729;9223;51532;0.33261206678928196;
5/5;5;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;89085;0.489289833580491;154341;74488;13132;0.4826196538832844;27729;14597;79853;0.5264163871758808;
5/5;5;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;106544;0.5851815235898281;154341;96105;17290;0.6226796509028709;27729;10439;58236;0.3764650726676043;
5/5;7;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;79793;0.4382545174932718;154341;63363;11299;0.41053900130231114;27729;16430;90978;0.5925204659381874;
5/5;7;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;98044;0.5384961827868402;154341;85855;15540;0.5562682631316371;27729;12189;68486;0.4395758952720978;
5/5;10;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;92893;0.5102048662602295;154341;80258;15094;0.5200044058286521;27729;12635;74083;0.455660139204443;
5/5;10;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;111904;0.6146207502608887;154341;103176;19001;0.6684937897253485;27729;8728;51165;0.31476071982401094;
