data_distribution;tuple_size;bleaching_active;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
5/5;1;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;114598;0.629417257098918;154341;105490;18621;0.6834865654621909;27729;9108;48851;0.3284647841609867;18416;3044;15372;
5/5;1;True;10;9;0.9;5;5;1;1.0;5;4;0;0.8;182070;123109;0.676163014225298;154341;116239;20859;0.7531310539649219;27729;6870;38102;0.24775505788164015;0;0;0;
5/5;2;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;121519;0.6674301092986215;154341;114165;20375;0.7396932765758937;27729;7354;40176;0.2652097082476829;12343;1971;10372;
5/5;2;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;125954;0.6917888724117098;154341;119711;21486;0.7756266967299681;27729;6243;34630;0.22514335172563021;0;0;0;
5/5;3;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;120751;0.6632119514472455;154341;113380;20358;0.7346071361465845;27729;7371;40961;0.26582278481012656;10343;1582;8761;
5/5;3;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;124582;0.6842533091668039;154341;118094;21241;0.7651498953615695;27729;6488;36247;0.2339788668902593;0;0;0;
5/5;4;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;117665;0.6462624265392432;154341;109806;19870;0.7114506190837172;27729;7859;44535;0.2834216884849796;10173;1509;8664;
5/5;4;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;120009;0.6591365958147966;154341;112563;20283;0.7293136626042335;27729;7446;41778;0.2685275343503192;2;0;2;
5/5;5;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;109880;0.6035041467567419;154341;99978;17827;0.6477734367407235;27729;9902;54363;0.35709906595982543;10727;1650;9077;
5/5;5;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;112816;0.6196298127093974;154341;103521;18434;0.6707290998503314;27729;9295;50820;0.33520862634786686;22;1;21;
5/5;6;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;120201;0.6601911352776405;154341;112702;20230;0.7302142658140093;27729;7499;41639;0.27043889069205523;9779;1536;8243;
5/5;6;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;122270;0.6715548964683913;154341;115172;20631;0.7462177904769309;27729;7098;39169;0.2559774964838256;230;38;192;
5/5;7;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;110422;0.6064810237820618;154341;100803;18110;0.6531187435613349;27729;9619;53538;0.3468931443614988;11379;1708;9671;
5/5;7;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;113639;0.6241500521777339;154341;104662;18752;0.6781218211622316;27729;8977;49679;0.32374048829745034;391;58;333;
5/5;8;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;110390;0.6063052672049212;154341;100720;18059;0.6525809732993826;27729;9670;53621;0.34873237404882973;15017;2294;12723;
5/5;8;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;113988;0.6260668973471741;154341;105016;18757;0.6804154437252578;27729;8972;49325;0.32356017166143747;760;119;641;
5/5;9;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;101679;0.5584610314714121;154341;90032;16082;0.5833317135433876;27729;11647;64309;0.4200295719283061;19367;3010;16357;
