data_distribution;tuple_size;bleaching_active;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;
5/5;1;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;114598;0.629417257098918;154341;105490;18621;0.6834865654621909;27729;9108;48851;0.3284647841609867;
5/5;1;True;10;9;0.9;5;5;1;1.0;5;4;0;0.8;182070;123109;0.676163014225298;154341;116239;20859;0.7531310539649219;27729;6870;38102;0.24775505788164015;
5/5;2;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;121519;0.6674301092986215;154341;114165;20375;0.7396932765758937;27729;7354;40176;0.2652097082476829;
5/5;2;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;125954;0.6917888724117098;154341;119711;21486;0.7756266967299681;27729;6243;34630;0.22514335172563021;
5/5;4;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;117665;0.6462624265392432;154341;109806;19870;0.7114506190837172;27729;7859;44535;0.2834216884849796;
5/5;4;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;120009;0.6591365958147966;154341;112563;20283;0.7293136626042335;27729;7446;41778;0.2685275343503192;
5/5;5;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;109880;0.6035041467567419;154341;99978;17827;0.6477734367407235;27729;9902;54363;0.35709906595982543;
5/5;5;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;112816;0.6196298127093974;154341;103521;18434;0.6707290998503314;27729;9295;50820;0.33520862634786686;
5/5;7;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;110422;0.6064810237820618;154341;100803;18110;0.6531187435613349;27729;9619;53538;0.3468931443614988;
5/5;7;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;113639;0.6241500521777339;154341;104662;18752;0.6781218211622316;27729;8977;49679;0.32374048829745034;
5/5;10;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;105978;0.5820728291316527;154341;95249;17000;0.6171334901290001;27729;10729;59092;0.38692343755634895;
5/5;10;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;108756;0.5973306969846762;154341;98598;17571;0.6388321962407915;27729;10158;55743;0.3663312777236828;
5/5;20;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;64608;0.3548525292469929;154341;44108;7229;0.2857827796891299;27729;20500;110233;0.739298207652638;
5/5;20;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;64769;0.35573680452573186;154341;44296;7256;0.28700086172825107;27729;20473;110045;0.7383244978181687;
5/5;25;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;46188;0.2536826495304004;154341;22267;3808;0.1442714508782501;27729;23921;132074;0.8626708500126221;
5/5;25;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;46193;0.25371011149557865;154341;22272;3808;0.1443038466771629;27729;23921;132069;0.8626708500126221;
5/5;30;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;38873;0.2135057944746526;154341;13517;2373;0.08757880278085538;27729;25356;140824;0.9144217245483068;
5/5;30;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;38873;0.2135057944746526;154341;13517;2373;0.08757880278085538;27729;25356;140824;0.9144217245483068;
5/5;50;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;28438;0.15619267314769045;154341;866;157;0.005610952371696438;27729;27572;153475;0.9943380576291969;
5/5;50;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;28438;0.15619267314769045;154341;866;157;0.005610952371696438;27729;27572;153475;0.9943380576291969;
5/5;100;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;27733;0.15232053605756027;154341;4;0;2.5916639130237592e-05;27729;27729;154337;1.0;
5/5;100;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;27733;0.15232053605756027;154341;4;0;2.5916639130237592e-05;27729;27729;154337;1.0;
10/10;1;False;20;15;0.75;10;5;0;0.5;10;10;5;1.0;182060;81291;0.44650664616060637;154336;65358;11791;0.4234786439975119;27724;15933;88978;0.5747006204010965;
10/10;1;True;20;17;0.85;10;10;3;1.0;10;7;0;0.7;182060;112686;0.6189497967702955;154336;103432;18470;0.6701741654571843;27724;9254;50904;0.3337902178617804;
10/10;2;False;20;19;0.95;10;9;0;0.9;10;10;1;1.0;182060;105877;0.581550038448863;154336;94721;16568;0.6137323761144516;27724;11156;59615;0.40239503679122784;
10/10;2;True;20;19;0.95;10;10;1;1.0;10;9;0;0.9;182060;115119;0.6323135230143908;154336;106058;18663;0.687188990255028;27724;9061;48278;0.32682874044149474;
10/10;4;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;96018;0.5273975612435461;154336;82787;14493;0.5364075782707858;27724;13231;71549;0.4772399365170971;
10/10;4;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;105101;0.5772877073492255;154336;93825;16448;0.607926860874974;27724;11276;60511;0.40672341653441063;
