data_distribution;tuple_size;bleaching_active;total_training_time;avg_in_sample_evaluation_time;total_in_sample_evaluation_time;avg_out_sample_evaluation_time;total_out_sample_evaluation_time;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
5/5;2;False;0.010472536087036133;2.5582313537597656e-05;0.0017609596252441406;2.6799013032324987e-05;4.881819248199463;10;9;0.9;5;5;1;1.0;5;4;0;0.8;182070;133956;0.7357390014829461;154341;129558;23331;0.8394269831088305;27729;4398;24783;0.15860651303689277;0;0;0;
5/5;2;True;0.0002505779266357422;5.743503570556641e-05;0.0014913082122802734;2.4211759614926125e-05;4.4093194007873535;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;123673;0.6792607238974021;154341;116970;21026;0.7578673197659728;27729;6703;37371;0.24173248223881136;0;0;0;
5/5;3;False;0.0001850128173828125;3.4475326538085936e-05;0.0038530826568603516;2.3328758395208573e-05;4.249379396438599;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;123898;0.6804965123304224;154341;117467;21298;0.7610874621779048;27729;6431;36874;0.23192325723971294;0;0;0;
5/5;3;True;0.00016021728515625;2.276897430419922e-05;0.0016429424285888672;2.308378451645862e-05;4.204147577285767;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;124442;0.6834843741418136;154341;117923;21210;0.7640419590387518;27729;6519;36418;0.2350968300335389;0;0;0;
5/5;4;False;0.00018453598022460938;2.8848648071289062e-05;0.0011479854583740234;2.6376303583064374e-05;4.8052077293396;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;119846;0.6582413357499862;154341;112501;20384;0.7289119546977147;27729;7345;41840;0.2648851383028598;0;0;0;
5/5;4;True;0.00018930435180664062;2.5987625122070312e-05;0.0005040168762207031;2.7163240723236196e-05;4.947050094604492;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;117055;0.6429120667874993;154341;108793;19467;0.7048872302239846;27729;8262;45548;0.29795520934761444;0;0;0;
5/5;5;False;0.00018596649169921875;2.923011779785156e-05;0.002740144729614258;2.8385104840778796e-05;5.169216871261597;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;128754;0.7071675729115176;154341;123410;22385;0.7995931087656553;27729;5344;30931;0.19272242057052183;0;0;0;
5/5;5;True;0.0001914501190185547;2.923011779785156e-05;0.0020744800567626953;2.9123363053837304e-05;5.303774356842041;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;113473;0.6232383149338167;154341;104174;18430;0.6749599911883427;27729;9299;50167;0.33535287965667715;0;0;0;
5/5;6;False;0.00019407272338867188;3.1995773315429685e-05;0.004748344421386719;3.0743637751228706e-05;5.59899640083313;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;97401;0.53496457406492;154341;84729;15057;0.5489727292164752;27729;12672;69612;0.45699448231093803;0;0;0;
5/5;6;True;0.00019860267639160156;2.9397010803222656e-05;0.0005216598510742188;3.1282320743849296e-05;5.696774244308472;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;118810;0.6525512165650574;154341;110953;19872;0.7188822153543128;27729;7857;43388;0.28334956183057447;0;0;0;
5/5;7;False;0.00018835067749023438;3.123283386230469e-05;0.0024025440216064453;3.186694321355036e-05;5.803283929824829;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;118502;0.6508595595100786;154341;110469;19696;0.7157463020195541;27729;8033;43872;0.2896967074182264;0;0;0;
5/5;7;True;0.00019049644470214844;3.0303001403808592e-05;0.004233598709106445;3.1825461235471706e-05;5.79552149772644;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;111655;0.6132531443950129;154341;102395;18469;0.6634335659351696;27729;9260;51946;0.333946409895777;0;0;0;
5/5;8;False;0.00019860267639160156;3.085136413574219e-05;0.0011439323425292969;3.3526399117649605e-05;6.104495525360107;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;110272;0.6056571648267149;154341;100898;18355;0.6537342637406781;27729;9374;53443;0.3380576291968697;0;0;0;
5/5;8;True;0.00019121170043945312;3.490447998046875e-05;0.002384662628173828;3.254842069387737e-05;5.927100896835327;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;96393;0.5294282418849893;154341;83800;15136;0.5429535897784775;27729;12593;70541;0.4541454794619352;0;0;0;
5/5;9;False;0.000194549560546875;3.640651702880859e-05;0.0028696060180664062;3.440381929719508e-05;6.264955997467041;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;117007;0.6426484319217883;154341;109155;19877;0.707232686065271;27729;7852;45186;0.28316924519456166;0;0;0;
5/5;9;True;0.00021195411682128906;3.259181976318359e-05;0.0013201236724853516;3.8263649394957794e-05;6.967020511627197;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;97738;0.5368155105179326;154341;85920;15911;0.5566894085175035;27729;11818;68421;0.4261964008799452;0;0;0;
5/5;10;False;0.0002956390380859375;5.4049491882324216e-05;0.005776882171630859;3.6697969893918906e-05;6.683155298233032;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;120527;0.661981655407261;154341;113295;20497;0.734056407565067;27729;7232;41046;0.2608099823289697;0;0;0;
5/5;10;True;0.00021219253540039062;3.5262107849121095e-05;0.0006072521209716797;3.41454742309282e-05;6.217740058898926;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;114779;0.6304113802383698;154341;106309;19259;0.688792997324107;27729;8470;48032;0.3054563814057485;0;0;0;
5/5;20;False;0.0002167224884033203;3.6764144897460935e-05;0.003016233444213867;3.5952386401948474e-05;6.546985387802124;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;121850;0.6692480913934201;154341;114410;20289;0.7412806707226207;27729;7440;39931;0.26831115438710373;0;0;0;
5/5;20;True;0.00022554397583007812;3.948211669921875e-05;0.0006365776062011719;3.633460515595782e-05;6.617753744125366;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;123167;0.6764815730213654;154341;116389;20951;0.7541029279323057;27729;6778;37952;0.24443723177900392;0;0;0;
5/5;25;False;0.0002758502960205078;3.6716461181640625e-05;0.002778291702270508;3.746905567527256e-05;6.823751926422119;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;132514;0.7278189707255451;154341;127983;23198;0.8292223064512994;27729;4531;26358;0.1634029355548343;0;0;0;
5/5;25;True;0.00021457672119140625;3.635883331298828e-05;0.0005991458892822266;3.8172275903374616e-05;6.951935291290283;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;131954;0.7247432306255835;154341;127342;23117;0.8250691650306788;27729;4612;26999;0.16632406505824227;0;0;0;
5/5;30;False;0.00022268295288085938;3.743171691894531e-05;0.0013055801391601562;3.847084060076428e-05;7.0056164264678955;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;143305;0.7870873839731971;154341;140717;25141;0.9117279271224108;27729;2588;13624;0.09333189080024523;0;0;0;
5/5;30;True;0.00023055076599121094;3.3736228942871094e-05;0.0005681514739990234;3.8344812804367876e-05;6.982800722122192;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;144607;0.7942384797056077;154341;142728;25850;0.9247575174451377;27729;1879;11613;0.06776299181362473;0;0;0;
5/5;50;False;0.0002334117889404297;4.436969757080078e-05;0.001333475112915039;4.1371800331580435e-05;7.5343005657196045;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;147902;0.8123359147580601;154341;146493;26320;0.9491515540264739;27729;1409;7848;0.0508132280284179;0;0;0;
5/5;50;True;0.000247955322265625;4.174709320068359e-05;0.0006785392761230469;4.706192875626047e-05;8.570248126983643;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;151710;0.8332509474377986;154341;151251;27270;0.9799793962718915;27729;459;3090;0.016553067185978577;0;0;0;
5/5;100;False;0.00021648406982421875;4.5371055603027346e-05;0.002205371856689453;4.244581664512753e-05;7.728645086288452;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;152339;0.8367056626572198;154341;151981;27371;0.9847091829131598;27729;358;2360;0.01291067113851924;0;0;0;
5/5;100;True;0.0003731250762939453;3.960132598876953e-05;0.0014100074768066406;4.778840550089377e-05;8.701329231262207;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;152898;0.8397759103641457;154341;152648;27479;0.9890307824881269;27729;250;1693;0.009015831800641928;0;0;0;
10/10;2;False;0.01792597770690918;3.511905670166016e-05;0.0016241073608398438;3.671580509184534e-05;6.68510103225708;20;18;0.9;10;10;2;1.0;10;8;0;0.8;182060;120769;0.6633472481599473;154336;113200;20155;0.7334646485589882;27724;7569;41136;0.2730125523012552;0;0;0;
10/10;2;True;0.00040793418884277344;4.583597183227539e-05;0.003534555435180664;2.8382794196744756e-05;5.170147180557251;20;18;0.9;10;10;2;1.0;10;8;0;0.8;182060;112412;0.617444798418104;154336;102910;18222;0.6667919344806137;27724;9502;51426;0.3427355359976915;0;0;0;
10/10;3;False;0.0007374286651611328;5.0950050354003904e-05;0.0015866756439208984;2.7437658214600522e-05;4.998331785202026;20;18;0.9;10;10;2;1.0;10;8;0;0.8;182060;118891;0.6530319674832473;154336;110969;19802;0.7190091747874767;27724;7922;43367;0.2857452027124513;0;0;0;
10/10;3;True;0.0004932880401611328;3.415346145629883e-05;0.0018787384033203125;2.8155111394373256e-05;5.126216888427734;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;106456;0.5847303086894431;154336;95970;17238;0.6218251088534107;27724;10486;58366;0.3782282498917905;0;0;0;
10/10;4;False;0.0004851818084716797;2.847909927368164e-05;0.0010225772857666016;3.170054731271587e-05;5.772755861282349;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;114614;0.6295397121827969;154336;105578;18688;0.6840788928053079;27724;9036;48758;0.32592699466166497;0;0;0;
10/10;4;True;0.00028634071350097656;2.6500225067138673e-05;0.000789642333984375;3.0194843495061053e-05;5.498629808425903;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;102420;0.5625617928155553;154336;90893;16197;0.5889293489529338;27724;11527;63443;0.4157769441639013;0;0;0;
10/10;5;False;0.0003261566162109375;3.1280517578125e-05;0.0010983943939208984;3.1347075988994146e-05;5.70857834815979;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;102218;0.5614522684829177;154336;90051;15557;0.5834737196765498;27724;12167;64285;0.4388616361275429;0;0;0;
10/10;5;True;0.00029397010803222656;3.095865249633789e-05;0.0033559799194335938;3.0139704451487114e-05;5.488364934921265;20;19;0.95;10;10;1;1.0;10;9;0;0.9;182060;106534;0.5851587388772932;154336;95881;17071;0.6212484449512752;27724;10653;58455;0.3842519117010532;0;0;0;
10/10;6;False;0.0003364086151123047;3.174543380737305e-05;0.0008709430694580078;3.0445427890925516e-05;5.544294118881226;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;105764;0.5809293639459518;154336;94589;16549;0.6128770993157786;27724;11175;59747;0.4030803635838984;0;0;0;
10/10;6;True;0.00029659271240234375;3.16619873046875e-05;0.0029277801513671875;3.0017953305064775e-05;5.4671783447265625;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;101585;0.5579753927276722;154336;89615;15754;0.5806487144930541;27724;11970;64721;0.4317558793824845;0;0;0;
10/10;7;False;0.0003170967102050781;3.235340118408203e-05;0.0026373863220214844;3.070785071343547e-05;5.591879844665527;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;109792;0.6030539382621114;154336;100127;18059;0.6487598486419242;27724;9665;54209;0.3486149184821815;0;0;0;
10/10;7;True;0.00040912628173828125;4.082918167114258e-05;0.0012726783752441406;3.1111446773692905e-05;5.665235757827759;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;96417;0.5295891464352411;154336;82907;14214;0.5371851026332158;27724;13510;71429;0.4873034194199971;0;0;0;
10/10;8;False;0.0003390312194824219;3.47137451171875e-05;0.002887248992919922;3.3282610291794576e-05;6.060648679733276;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;100892;0.554168955289465;154336;88663;15495;0.5744803545511092;27724;12229;65673;0.4410979656615207;0;0;0;
